,id,title,description,is_premium,difficulty,solution_link,acceptance_rate,frequency,url,discuss_count,accepted,submissions,companies,related_topics,likes,dislikes,rating,asked_by_faang,similar_questions,c++_code_snippet,java_code_snippet,python_code_snippet,python3_code_snippet,c_code_snippet,c#_code_snippet,javascript_code_snippet,ruby_code_snippet,swift_code_snippet,go_code_snippet,scala_code_snippet,kotlin_code_snippet,rust_code_snippet,php_code_snippet,typescript_code_snippet,racket_code_snippet,erlang_code_snippet,elixir_code_snippet,dart_code_snippet,mysql_code_snippet,ms sql server_code_snippet,oracle_code_snippet,title_slug
0,4,Median of Two Sorted Arrays,"Given two sorted arrays `nums1` and `nums2` of size `m` and `n` respectively, return the median of the two sorted arrays.",0,Hard,/articles/median-of-two-sorted-arrays,31.4,86.2,https://leetcode.com/problems/median-of-two-sorted-arrays,999,904.7K,2.9M,"Amazon,Goldman Sachs,Facebook,Microsoft,Apple,Adobe,Google,Bloomberg,Zillow,Uber,Flipkart,Paypal","Array,Binary Search,Divide and Conquer",9665,1486,87,1,,"class Solution {
public:
    double findMedianSortedArrays(vector<int>& nums1, vector<int>& nums2) {
        
    }
};","class Solution {
    public double findMedianSortedArrays(int[] nums1, int[] nums2) {
        
    }
}","class Solution(object):
    def findMedianSortedArrays(self, nums1, nums2):
        """"""
        :type nums1: List[int]
        :type nums2: List[int]
        :rtype: float
        """"""
        ","class Solution:
    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:
        ","double findMedianSortedArrays(int* nums1, int nums1Size, int* nums2, int nums2Size){

}","public class Solution {
    public double FindMedianSortedArrays(int[] nums1, int[] nums2) {
        
    }
}","/**
 * @param {number[]} nums1
 * @param {number[]} nums2
 * @return {number}
 */
var findMedianSortedArrays = function(nums1, nums2) {
    
};","# @param {Integer[]} nums1
# @param {Integer[]} nums2
# @return {Float}
def find_median_sorted_arrays(nums1, nums2)
    
end","class Solution {
    func findMedianSortedArrays(_ nums1: [Int], _ nums2: [Int]) -> Double {
        
    }
}","func findMedianSortedArrays(nums1 []int, nums2 []int) float64 {
    
}","object Solution {
    def findMedianSortedArrays(nums1: Array[Int], nums2: Array[Int]): Double = {
        
    }
}","class Solution {
    fun findMedianSortedArrays(nums1: IntArray, nums2: IntArray): Double {
        
    }
}","impl Solution {
    pub fn find_median_sorted_arrays(nums1: Vec<i32>, nums2: Vec<i32>) -> f64 {
        
    }
}","class Solution {

    /**
     * @param Integer[] $nums1
     * @param Integer[] $nums2
     * @return Float
     */
    function findMedianSortedArrays($nums1, $nums2) {
        
    }
}","function findMedianSortedArrays(nums1: number[], nums2: number[]): number {

};","(define/contract (find-median-sorted-arrays nums1 nums2)
  (-> (listof exact-integer?) (listof exact-integer?) flonum?)

  )","-spec find_median_sorted_arrays(Nums1 :: [integer()], Nums2 :: [integer()]) -> float().
find_median_sorted_arrays(Nums1, Nums2) ->
  .","defmodule Solution do
  @spec find_median_sorted_arrays(nums1 :: [integer], nums2 :: [integer]) :: float
  def find_median_sorted_arrays(nums1, nums2) do

  end
end","class Solution {
  double findMedianSortedArrays(List<int> nums1, List<int> nums2) {

  }
}",,,,median-of-two-sorted-arrays
1,10,Regular Expression Matching,"Given an input string (`s`) and a pattern (`p`), implement regular expression matching with support for `'.'` and `'*'` where:` `
`'.'` Matches any single character.​​​​
`'*'` Matches zero or more of the preceding element.
The matching should cover the entire input string (not partial).",0,Hard,/articles/regular-expression-matching,27.4,75.0,https://leetcode.com/problems/regular-expression-matching,999,526.6K,1.9M,"Facebook,Amazon,Microsoft,Google,Adobe,Coursera,Apple","String,Dynamic Programming,Backtracking",5583,841,87,1,"[Wildcard Matching, /problems/wildcard-matching/, Hard]","class Solution {
public:
    bool isMatch(string s, string p) {
        
    }
};","class Solution {
    public boolean isMatch(String s, String p) {
        
    }
}","class Solution(object):
    def isMatch(self, s, p):
        """"""
        :type s: str
        :type p: str
        :rtype: bool
        """"""
        ","class Solution:
    def isMatch(self, s: str, p: str) -> bool:
        ","bool isMatch(char * s, char * p){

}","public class Solution {
    public bool IsMatch(string s, string p) {
        
    }
}","/**
 * @param {string} s
 * @param {string} p
 * @return {boolean}
 */
var isMatch = function(s, p) {
    
};","# @param {String} s
# @param {String} p
# @return {Boolean}
def is_match(s, p)
    
end","class Solution {
    func isMatch(_ s: String, _ p: String) -> Bool {
        
    }
}","func isMatch(s string, p string) bool {
    
}","object Solution {
    def isMatch(s: String, p: String): Boolean = {
        
    }
}","class Solution {
    fun isMatch(s: String, p: String): Boolean {
        
    }
}","impl Solution {
    pub fn is_match(s: String, p: String) -> bool {
        
    }
}","class Solution {

    /**
     * @param String $s
     * @param String $p
     * @return Boolean
     */
    function isMatch($s, $p) {
        
    }
}","function isMatch(s: string, p: string): boolean {

};","(define/contract (is-match s p)
  (-> string? string? boolean?)

  )","-spec is_match(S :: unicode:unicode_binary(), P :: unicode:unicode_binary()) -> boolean().
is_match(S, P) ->
  .","defmodule Solution do
  @spec is_match(s :: String.t, p :: String.t) :: boolean
  def is_match(s, p) do

  end
end","class Solution {
  bool isMatch(String s, String p) {

  }
}",,,,regular-expression-matching
4,30,Substring with Concatenation of All Words,"You are given a string `s` and an array of strings `words` of the same length. Return all starting indices of substring(s) in `s` that is a concatenation of each word in `words` exactly once, in any order, and without any intervening characters.
You can return the answer in any order.",0,Hard,,26.4,31.0,https://leetcode.com/problems/substring-with-concatenation-of-all-words,732,203K,770K,"Amazon,Adobe","Hash Table,Two Pointers,String",1209,1455,45,1,"[Minimum Window Substring, /problems/minimum-window-substring/, Hard]","class Solution {
public:
    vector<int> findSubstring(string s, vector<string>& words) {
        
    }
};","class Solution {
    public List<Integer> findSubstring(String s, String[] words) {
        
    }
}","class Solution(object):
    def findSubstring(self, s, words):
        """"""
        :type s: str
        :type words: List[str]
        :rtype: List[int]
        """"""
        ","class Solution:
    def findSubstring(self, s: str, words: List[str]) -> List[int]:
        ","/**
 * Note: The returned array must be malloced, assume caller calls free().
 */
int* findSubstring(char * s, char ** words, int wordsSize, int* returnSize){

}","public class Solution {
    public IList<int> FindSubstring(string s, string[] words) {
        
    }
}","/**
 * @param {string} s
 * @param {string[]} words
 * @return {number[]}
 */
var findSubstring = function(s, words) {
    
};","# @param {String} s
# @param {String[]} words
# @return {Integer[]}
def find_substring(s, words)
    
end","class Solution {
    func findSubstring(_ s: String, _ words: [String]) -> [Int] {
        
    }
}","func findSubstring(s string, words []string) []int {
    
}","object Solution {
    def findSubstring(s: String, words: Array[String]): List[Int] = {
        
    }
}","class Solution {
    fun findSubstring(s: String, words: Array<String>): List<Int> {
        
    }
}","impl Solution {
    pub fn find_substring(s: String, words: Vec<String>) -> Vec<i32> {
        
    }
}","class Solution {

    /**
     * @param String $s
     * @param String[] $words
     * @return Integer[]
     */
    function findSubstring($s, $words) {
        
    }
}","function findSubstring(s: string, words: string[]): number[] {

};","(define/contract (find-substring s words)
  (-> string? (listof string?) (listof exact-integer?))

  )","-spec find_substring(S :: unicode:unicode_binary(), Words :: [unicode:unicode_binary()]) -> [integer()].
find_substring(S, Words) ->
  .","defmodule Solution do
  @spec find_substring(s :: String.t, words :: [String.t]) :: [integer]
  def find_substring(s, words) do

  end
end","class Solution {
  List<int> findSubstring(String s, List<String> words) {

  }
}",,,,substring-with-concatenation-of-all-words
5,32,Longest Valid Parentheses,"Given a string containing just the characters `'('` and `')'`, find the length of the longest valid (well-formed) parentheses substring.",0,Hard,/articles/longest-valid-parentheses,29.9,24.5,https://leetcode.com/problems/longest-valid-parentheses,999,366.3K,1.2M,"Amazon,Facebook,Apple,ByteDance","String,Dynamic Programming",5015,182,96,1,"[Valid Parentheses, /problems/valid-parentheses/, Easy]","class Solution {
public:
    int longestValidParentheses(string s) {
        
    }
};","class Solution {
    public int longestValidParentheses(String s) {
        
    }
}","class Solution(object):
    def longestValidParentheses(self, s):
        """"""
        :type s: str
        :rtype: int
        """"""
        ","class Solution:
    def longestValidParentheses(self, s: str) -> int:
        ","int longestValidParentheses(char * s){

}","public class Solution {
    public int LongestValidParentheses(string s) {
        
    }
}","/**
 * @param {string} s
 * @return {number}
 */
var longestValidParentheses = function(s) {
    
};","# @param {String} s
# @return {Integer}
def longest_valid_parentheses(s)
    
end","class Solution {
    func longestValidParentheses(_ s: String) -> Int {
        
    }
}","func longestValidParentheses(s string) int {
    
}","object Solution {
    def longestValidParentheses(s: String): Int = {
        
    }
}","class Solution {
    fun longestValidParentheses(s: String): Int {
        
    }
}","impl Solution {
    pub fn longest_valid_parentheses(s: String) -> i32 {
        
    }
}","class Solution {

    /**
     * @param String $s
     * @return Integer
     */
    function longestValidParentheses($s) {
        
    }
}","function longestValidParentheses(s: string): number {

};","(define/contract (longest-valid-parentheses s)
  (-> string? exact-integer?)

  )","-spec longest_valid_parentheses(S :: unicode:unicode_binary()) -> integer().
longest_valid_parentheses(S) ->
  .","defmodule Solution do
  @spec longest_valid_parentheses(s :: String.t) :: integer
  def longest_valid_parentheses(s) do

  end
end","class Solution {
  int longestValidParentheses(String s) {

  }
}",,,,longest-valid-parentheses
7,41,First Missing Positive,"Given an unsorted integer array `nums`, find the smallest missing positive integer.",0,Hard,/articles/first-missing-positive,33.9,77.3,https://leetcode.com/problems/first-missing-positive,999,466.2K,1.4M,"Microsoft,Amazon,Facebook,Google,Oracle,Adobe,Bloomberg,Wish,Uber,Apple,Walmart Labs,Tesla,JPMorgan",Array,5504,970,85,1,"[Missing Number, /problems/missing-number/, Easy], [Find the Duplicate Number, /problems/find-the-duplicate-number/, Medium], [Find All Numbers Disappeared in an Array, /problems/find-all-numbers-disappeared-in-an-array/, Easy], [Couples Holding Hands, /problems/couples-holding-hands/, Hard]","class Solution {
public:
    int firstMissingPositive(vector<int>& nums) {
        
    }
};","class Solution {
    public int firstMissingPositive(int[] nums) {
        
    }
}","class Solution(object):
    def firstMissingPositive(self, nums):
        """"""
        :type nums: List[int]
        :rtype: int
        """"""
        ","class Solution:
    def firstMissingPositive(self, nums: List[int]) -> int:
        ","int firstMissingPositive(int* nums, int numsSize){

}","public class Solution {
    public int FirstMissingPositive(int[] nums) {
        
    }
}","/**
 * @param {number[]} nums
 * @return {number}
 */
var firstMissingPositive = function(nums) {
    
};","# @param {Integer[]} nums
# @return {Integer}
def first_missing_positive(nums)
    
end","class Solution {
    func firstMissingPositive(_ nums: [Int]) -> Int {
        
    }
}","func firstMissingPositive(nums []int) int {
    
}","object Solution {
    def firstMissingPositive(nums: Array[Int]): Int = {
        
    }
}","class Solution {
    fun firstMissingPositive(nums: IntArray): Int {
        
    }
}","impl Solution {
    pub fn first_missing_positive(nums: Vec<i32>) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer[] $nums
     * @return Integer
     */
    function firstMissingPositive($nums) {
        
    }
}","function firstMissingPositive(nums: number[]): number {

};","(define/contract (first-missing-positive nums)
  (-> (listof exact-integer?) exact-integer?)

  )","-spec first_missing_positive(Nums :: [integer()]) -> integer().
first_missing_positive(Nums) ->
  .","defmodule Solution do
  @spec first_missing_positive(nums :: [integer]) :: integer
  def first_missing_positive(nums) do

  end
end","class Solution {
  int firstMissingPositive(List<int> nums) {

  }
}",,,,first-missing-positive
8,42,Trapping Rain Water,"Given `n` non-negative integers representing an elevation map where the width of each bar is `1`, compute how much water it can trap after raining.",0,Hard,/articles/trapping-rain-water,51.6,96.3,https://leetcode.com/problems/trapping-rain-water,999,715K,1.4M,"Goldman Sachs,Facebook,Amazon,Microsoft,Bloomberg,Apple,Databricks,Google,Qualtrics,Adobe,Oracle,Yahoo","Array,Two Pointers,Dynamic Programming,Stack",10683,159,99,1,"[Container With Most Water, /problems/container-with-most-water/, Medium], [Product of Array Except Self, /problems/product-of-array-except-self/, Medium], [Trapping Rain Water II, /problems/trapping-rain-water-ii/, Hard], [Pour Water, /problems/pour-water/, Medium]","class Solution {
public:
    int trap(vector<int>& height) {
        
    }
};","class Solution {
    public int trap(int[] height) {
        
    }
}","class Solution(object):
    def trap(self, height):
        """"""
        :type height: List[int]
        :rtype: int
        """"""
        ","class Solution:
    def trap(self, height: List[int]) -> int:
        ","int trap(int* height, int heightSize){

}","public class Solution {
    public int Trap(int[] height) {
        
    }
}","/**
 * @param {number[]} height
 * @return {number}
 */
var trap = function(height) {
    
};","# @param {Integer[]} height
# @return {Integer}
def trap(height)
    
end","class Solution {
    func trap(_ height: [Int]) -> Int {
        
    }
}","func trap(height []int) int {
    
}","object Solution {
    def trap(height: Array[Int]): Int = {
        
    }
}","class Solution {
    fun trap(height: IntArray): Int {
        
    }
}","impl Solution {
    pub fn trap(height: Vec<i32>) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer[] $height
     * @return Integer
     */
    function trap($height) {
        
    }
}","function trap(height: number[]): number {

};","(define/contract (trap height)
  (-> (listof exact-integer?) exact-integer?)

  )","-spec trap(Height :: [integer()]) -> integer().
trap(Height) ->
  .","defmodule Solution do
  @spec trap(height :: [integer]) :: integer
  def trap(height) do

  end
end","class Solution {
  int trap(List<int> height) {

  }
}",,,,trapping-rain-water
9,44,Wildcard Matching,"Given an input string (`s`) and a pattern (`p`), implement wildcard pattern matching with support for `'?'` and `'*'` where:
`'?'` Matches any single character.
`'*'` Matches any sequence of characters (including the empty sequence).
The matching should cover the entire input string (not partial).",0,Hard,/articles/wildcard-matching,25.5,59.0,https://leetcode.com/problems/wildcard-matching,823,296.2K,1.2M,"Adobe,Amazon,Citadel,Facebook,Microsoft,Google,Bloomberg,Snapchat","String,Dynamic Programming,Backtracking,Greedy",2848,139,95,1,"[Regular Expression Matching, /problems/regular-expression-matching/, Hard]","class Solution {
public:
    bool isMatch(string s, string p) {
        
    }
};","class Solution {
    public boolean isMatch(String s, String p) {
        
    }
}","class Solution(object):
    def isMatch(self, s, p):
        """"""
        :type s: str
        :type p: str
        :rtype: bool
        """"""
        ","class Solution:
    def isMatch(self, s: str, p: str) -> bool:
        ","bool isMatch(char * s, char * p){

}","public class Solution {
    public bool IsMatch(string s, string p) {
        
    }
}","/**
 * @param {string} s
 * @param {string} p
 * @return {boolean}
 */
var isMatch = function(s, p) {
    
};","# @param {String} s
# @param {String} p
# @return {Boolean}
def is_match(s, p)
    
end","class Solution {
    func isMatch(_ s: String, _ p: String) -> Bool {
        
    }
}","func isMatch(s string, p string) bool {
    
}","object Solution {
    def isMatch(s: String, p: String): Boolean = {
        
    }
}","class Solution {
    fun isMatch(s: String, p: String): Boolean {
        
    }
}","impl Solution {
    pub fn is_match(s: String, p: String) -> bool {
        
    }
}","class Solution {

    /**
     * @param String $s
     * @param String $p
     * @return Boolean
     */
    function isMatch($s, $p) {
        
    }
}","function isMatch(s: string, p: string): boolean {

};","(define/contract (is-match s p)
  (-> string? string? boolean?)

  )","-spec is_match(S :: unicode:unicode_binary(), P :: unicode:unicode_binary()) -> boolean().
is_match(S, P) ->
  .","defmodule Solution do
  @spec is_match(s :: String.t, p :: String.t) :: boolean
  def is_match(s, p) do

  end
end","class Solution {
  bool isMatch(String s, String p) {

  }
}",,,,wildcard-matching
10,51,N-Queens,"The n-queens puzzle is the problem of placing `n` queens on an `n x n` chessboard such that no two queens attack each other.
Given an integer `n`, return all distinct solutions to the n-queens puzzle.
Each solution contains a distinct board configuration of the n-queens' placement, where `'Q'` and `'.'` both indicate a queen and an empty space, respectively.",0,Hard,/articles/n-queens,50.2,60.1,https://leetcode.com/problems/n-queens,999,248.4K,495.2K,"Facebook,Microsoft,Amazon,ByteDance,Apple,Adobe",Backtracking,2803,102,96,1,"[N-Queens II, /problems/n-queens-ii/, Hard], [Grid Illumination, /problems/grid-illumination/, Hard]","class Solution {
public:
    vector<vector<string>> solveNQueens(int n) {
        
    }
};","class Solution {
    public List<List<String>> solveNQueens(int n) {
        
    }
}","class Solution(object):
    def solveNQueens(self, n):
        """"""
        :type n: int
        :rtype: List[List[str]]
        """"""
        ","class Solution:
    def solveNQueens(self, n: int) -> List[List[str]]:
        ","/**
 * Return an array of arrays of size *returnSize.
 * The sizes of the arrays are returned as *returnColumnSizes array.
 * Note: Both returned array and *columnSizes array must be malloced, assume caller calls free().
 */
char *** solveNQueens(int n, int* returnSize, int** returnColumnSizes){

}","public class Solution {
    public IList<IList<string>> SolveNQueens(int n) {
        
    }
}","/**
 * @param {number} n
 * @return {string[][]}
 */
var solveNQueens = function(n) {
    
};","# @param {Integer} n
# @return {String[][]}
def solve_n_queens(n)
    
end","class Solution {
    func solveNQueens(_ n: Int) -> [[String]] {
        
    }
}","func solveNQueens(n int) [][]string {
    
}","object Solution {
    def solveNQueens(n: Int): List[List[String]] = {
        
    }
}","class Solution {
    fun solveNQueens(n: Int): List<List<String>> {
        
    }
}","impl Solution {
    pub fn solve_n_queens(n: i32) -> Vec<Vec<String>> {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @return String[][]
     */
    function solveNQueens($n) {
        
    }
}","function solveNQueens(n: number): string[][] {

};","(define/contract (solve-n-queens n)
  (-> exact-integer? (listof (listof string?)))

  )","-spec solve_n_queens(N :: integer()) -> [[unicode:unicode_binary()]].
solve_n_queens(N) ->
  .","defmodule Solution do
  @spec solve_n_queens(n :: integer) :: [[String.t]]
  def solve_n_queens(n) do

  end
end","class Solution {
  List<List<String>> solveNQueens(int n) {

  }
}",,,,n-queens
11,52,N-Queens II,"The n-queens puzzle is the problem of placing `n` queens on an `n x n` chessboard such that no two queens attack each other.
Given an integer `n`, return the number of distinct solutions to the n-queens puzzle.",0,Hard,/articles/n-queens-ii,60.5,13.7,https://leetcode.com/problems/n-queens-ii,643,158.9K,262.4K,"Amazon,Zenefits",Backtracking,790,181,81,1,"[N-Queens, /problems/n-queens/, Hard]","class Solution {
public:
    int totalNQueens(int n) {
        
    }
};","class Solution {
    public int totalNQueens(int n) {
        
    }
}","class Solution(object):
    def totalNQueens(self, n):
        """"""
        :type n: int
        :rtype: int
        """"""
        ","class Solution:
    def totalNQueens(self, n: int) -> int:
        ","int totalNQueens(int n){

}","public class Solution {
    public int TotalNQueens(int n) {
        
    }
}","/**
 * @param {number} n
 * @return {number}
 */
var totalNQueens = function(n) {
    
};","# @param {Integer} n
# @return {Integer}
def total_n_queens(n)
    
end","class Solution {
    func totalNQueens(_ n: Int) -> Int {
        
    }
}","func totalNQueens(n int) int {
    
}","object Solution {
    def totalNQueens(n: Int): Int = {
        
    }
}","class Solution {
    fun totalNQueens(n: Int): Int {
        
    }
}","impl Solution {
    pub fn total_n_queens(n: i32) -> i32 {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @return Integer
     */
    function totalNQueens($n) {
        
    }
}","function totalNQueens(n: number): number {

};","(define/contract (total-n-queens n)
  (-> exact-integer? exact-integer?)

  )","-spec total_n_queens(N :: integer()) -> integer().
total_n_queens(N) ->
  .","defmodule Solution do
  @spec total_n_queens(n :: integer) :: integer
  def total_n_queens(n) do

  end
end","class Solution {
  int totalNQueens(int n) {

  }
}",,,,n-queens-ii
12,60,Permutation Sequence,"The set `[1, 2, 3, ..., n]` contains a total of `n!` unique permutations.
By listing and labeling all of the permutations in order, we get the following sequence for `n = 3`:
`""123""`
`""132""`
`""213""`
`""231""`
`""312""`
`""321""`
Given `n` and `k`, return the `kth` permutation sequence.",0,Hard,/articles/permutation-sequence,39.5,24.1,https://leetcode.com/problems/permutation-sequence,999,223K,563.9K,"Amazon,Adobe","Math,Backtracking",2152,361,86,1,"[Next Permutation, /problems/next-permutation/, Medium], [Permutations, /problems/permutations/, Medium]","class Solution {
public:
    string getPermutation(int n, int k) {
        
    }
};","class Solution {
    public String getPermutation(int n, int k) {
        
    }
}","class Solution(object):
    def getPermutation(self, n, k):
        """"""
        :type n: int
        :type k: int
        :rtype: str
        """"""
        ","class Solution:
    def getPermutation(self, n: int, k: int) -> str:
        ","char * getPermutation(int n, int k){

}","public class Solution {
    public string GetPermutation(int n, int k) {
        
    }
}","/**
 * @param {number} n
 * @param {number} k
 * @return {string}
 */
var getPermutation = function(n, k) {
    
};","# @param {Integer} n
# @param {Integer} k
# @return {String}
def get_permutation(n, k)
    
end","class Solution {
    func getPermutation(_ n: Int, _ k: Int) -> String {
        
    }
}","func getPermutation(n int, k int) string {
    
}","object Solution {
    def getPermutation(n: Int, k: Int): String = {
        
    }
}","class Solution {
    fun getPermutation(n: Int, k: Int): String {
        
    }
}","impl Solution {
    pub fn get_permutation(n: i32, k: i32) -> String {
        
    }
}","class Solution {

    /**
     * @param Integer $n
     * @param Integer $k
     * @return String
     */
    function getPermutation($n, $k) {
        
    }
}","function getPermutation(n: number, k: number): string {

};","(define/contract (get-permutation n k)
  (-> exact-integer? exact-integer? string?)

  )","-spec get_permutation(N :: integer(), K :: integer()) -> unicode:unicode_binary().
get_permutation(N, K) ->
  .","defmodule Solution do
  @spec get_permutation(n :: integer, k :: integer) :: String.t
  def get_permutation(n, k) do

  end
end","class Solution {
  String getPermutation(int n, int k) {

  }
}",,,,permutation-sequence
